0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.554	1.617	1.533	1.435	1.351	1.288	1.218	1.155	1.113	1.106	1.078	1.050	1.008	0.966	0.931	0.903	0.875	0.847	0.791	0.784	0.763	0.749	0.728	0.707	0.686	0.679	0.658	0.651	0.644	0.637
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.617	1.540	1.421	1.344	1.274	1.218	1.155	1.106	1.078	1.057	1.036	1.008	0.966	0.924	0.903	0.875	0.847	0.819	0.777	0.756	0.749	0.728	0.707	0.686	0.672	0.658	0.644	0.630	0.630
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.610	1.533	1.421	1.344	1.267	1.218	1.148	1.092	1.057	1.057	1.029	1.001	0.966	0.924	0.896	0.875	0.847	0.819	0.777	0.756	0.735	0.728	0.707	0.686	0.665	0.658	0.644	0.623	0.616
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.547	1.498	1.421	1.344	1.267	1.211	1.148	1.092	1.057	1.036	1.008	0.994	0.966	0.924	0.889	0.868	0.840	0.819	0.791	0.742	0.735	0.714	0.707	0.686	0.665	0.651	0.637	0.623	0.609
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.428	1.498	1.428	1.330	1.260	1.197	1.148	1.092	1.043	1.008	1.008	0.987	0.959	0.924	0.889	0.861	0.840	0.819	0.791	0.763	0.728	0.714	0.700	0.686	0.665	0.651	0.630	0.623	0.609
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.491	1.428	1.330	1.260	1.190	1.148	1.092	1.036	1.008	1.001	0.966	0.952	0.924	0.889	0.861	0.833	0.812	0.791	0.763	0.728	0.707	0.693	0.686	0.665	0.651	0.630	0.616	0.609
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.470	1.407	1.330	1.260	1.190	1.134	1.092	1.036	0.994	0.959	0.966	0.945	0.924	0.889	0.861	0.826	0.812	0.791	0.763	0.742	0.700	0.693	0.672	0.665	0.651	0.630	0.616	0.602
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.428	1.386	1.337	1.246	1.190	1.127	1.092	1.036	0.987	0.959	0.966	0.924	0.910	0.889	0.861	0.826	0.805	0.784	0.763	0.742	0.721	0.679	0.672	0.658	0.651	0.630	0.616	0.602
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.274	1.386	1.337	1.246	1.190	1.127	1.092	1.036	0.987	0.959	0.924	0.924	0.910	0.889	0.854	0.826	0.798	0.784	0.763	0.742	0.721	0.686	0.672	0.651	0.644	0.630	0.616	0.602
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.386	1.330	1.246	1.190	1.120	1.071	1.036	0.987	0.945	0.917	0.924	0.889	0.875	0.854	0.826	0.798	0.777	0.763	0.742	0.721	0.700	0.658	0.651	0.637	0.630	0.616	0.602
